YNL113W, 11,16
YDL088C, 10,14,16,20,42
YDR159W, 01,10,11,14,16,20,42
YKR006C, 12,42
YML025C, 12,42
YML124C, 10,41,42
YPL004C, 01,18,32,34
YIL016W, 42
YNL251C, 11,16
YDR116C, 02,12,42
YGR092W, 01,10,11,14
YJL005W, 01,10,30,34,43
YER102W, 12
YHR196W, 11,16
YPL055C, 10,14,40,42
YEL053C, 01,02,14
YHR083W, 14,16,20,42
YKL079W, 02,20,43
YJL006C, 11,14,18
YHR088W, 11,12,16
YLL008W, 11,12,14,16
YGL080W, 02
YMR115W, 14
YJR007W, 12
YLR097C, 14,16
YMR303C, 01,02
YGR083C, 12
YOR112W, 20
YER019C-A, 14,20
YGL147C, 12
YER040W, 01,11,30
YNL237W, 02
YOR047C, 01,11,18,30,32,34
YOR358W, 01,11
YGL066W, 14,42
YKR028W, 01,10,14,30,43
YBR193C, 11,16
YLR071C, 01,02,11,34,43
YLR167W, 12,14
YBL050W, 16,20,42
YPL232W, 20,40,42,43
YDL065C, 14,20,42
YDR194C, 11,42
YML065W, 01,10,11,16,34
YDR225W, 10,11,16
YGL073W, 10,11,32,34
YKL062W, 01,11,16,32
YGR214W, 12,14,43
YJR017C, 01,11,14
YPL117C, 01
YPL058C, 01,16,20
YDR382W, 12
YJL080C, 10,16,20,34
YPR141C, 02,10,14,20,32,34,41,42
YDR427W, 14,16
YBR083W, 11,43
YOR016C, 14,20
YPR152C, 01
YEL026W, 11
YBR195C, 10,14,18,30,34,42
YER164W, 01,10,11,16
YMR229C, 11,16
YDR347W, 12,42
YGL129C, 12,42
YDR501W, 11
YFL009W, 10,14,16,43
YFR010W, 14
YLR246W, 14
YOL027C, 34,42
YKL167C, 12,42
YDL213C, 11,32
YJR144W, 10,16
YLR204W, 11
YCR028C-A, 10,16
YKR016W, 02
YGR072W, 01,12
YBR290W, 14,20,34
YCR093W, 01,10,11,34,43
YGL178W, 01,10,11,14,16,20,32,34,40,42
YBR057C, 10,43
YKR022C, 11
YGL016W, 14,20,32,42
YHR198C, 16
YML064C, 10,16,30
YKL198C, 01,14,20,34
YDR447C, 12
YPR049C, 14,20,42
YDL185W, 10,14,20,34
YKL029C, 01
YDR176W, 01,10,11,14,18,42
YHR041C, 11
YOR328W, 01,16,20
YIL159W, 16,32,40,42,43
YOL069W, 10,42
YDR128W, 14
YMR106C, 10,16,32,42
YDL140C, 11,16
YCL029C, 10,16,34
YPR199C, 11
YDL116W, 14,16,20,42,43
YML103C, 14,16,20,42
YPL260W, 14
YML093W, 11,16
YOR304W, 01,10,11,16
YPL016W, 01,10,11,34
YDR337W, 12,16,42
YMR188C, 02,12,42
YGL123W, 12
YHR005C-A, 14,16,20,32,42
YHL001W, 12,16
YMR242C, 12
YGL115W, 01,11,18,32,42
YPR007C, 10,16,43
YDL207W, 20
YKL068W, 14,16,20,42
YBR162W-A, 14,20
YBL045C, 02
YGR084C, 12,42
YNL213C, 10,42
YDR381W, 16,20
YER063W, 11
YBR154C, 11,16
YHR143W-A, 11,16
YPL129W, 01,10,11,34
YDR466W, 01,14,30,42
YLR196W, 16
YMR142C, 12
YOR204W, 11,12
YJR050W, 11
YMR213W, 10,11
YPR079W, 20,30
YPL146C, 11,12,16
YOR162C, 11,20
YDL100C, 01,16,32,34
YGL020C, 42
YKL182W, 01
YBL079W, 10,14,16,20,42
YFR002W, 14,16,20,42
YEL063C, 20
YER030W, 11
YKL174C, 20
YHR052W, 14,16
YOL062C, 14,20
YOL113W, 01,10,14,40
YDR388W, 16,20,32,40,42,43
YOR117W, 01,14,16
YJR002W, 11
YLR222C, 11,16
YLR029C, 12,16
YHR096C, 20
YNL219C, 01,14,42
YKR048C, 10,14,16,42,43
YOR061W, 01,10,11,14,32,34,40,42,43
YCR028C, 01,20
YHR200W, 14
YLR061W, 12
YLL011W, 11,16
YDR406W, 01,16,20
YLR055C, 10,11,14,18,42
YCL043C, 14,20
YIR001C, 11,16,20
YDL225W, 10,40,42,43
YDL031W, 11,12,16
YLL045C, 12
YPR103W, 10,14,43
YPR057W, 11,14,16
YKL211C, 01
YER149C, 16,30,34,42,43
YER021W, 14
YOR128C, 01
YER175C, 01
YJL002C, 01,14
YML019W, 01,14
YBR078W, 10,42,43
YBL007C, 14,16,20,40,42,43
YDL145C, 20
YGL025C, 10,11
YLR342W, 01,02,42
YOR005C, 10,43
YKL104C, 01,34,42
YPL153C, 01,10,14,30
YIR033W, 01,10,11,32,34
YGL150C, 01,10,11,16
YBR095C, 41,43
YNL097C, 10,11,14
YFL039C, 10,11,14,16,20,32,40,42,43
YGL116W, 10,14,18
YJL111W, 14,16,32,42
YDR384C, 01,20
YNR060W, 20,34
YDR064W, 12
YDR471W, 12
YBR126C, 01,02,32
YDR074W, 01,02,32
YBL039C, 01,42
YMR193W, 12,42
YPR125W, 11,16,20
YDL099W, 10
YDR364C, 10,11,16
YLL036C, 11
YGR224W, 20,32
YLR080W, 20
YDR227W, 10,11,16,32,34,40,42
YDR507C, 01,10,14,42,43
YOR288C, 14
YBR168W, 42
YDR363W-A, 10,14,20,43
YNL047C, 16,42
YER022W, 11
YPR080W, 12
YBR002C, 01,14,42
YBR177C, 01
YDR251W, 32,40,43
YJR059W, 01,10,14,20,34
YFL004W, 01,14,42
YEL046C, 01
YMR032W, 10,16,40,42,43
YBR218C, 01,02
YLR430W, 11,16
YMR081C, 01,02
YPL203W, 01,11,14,16,30,34,43
YDL017W, 01,10,14
YBR081C, 10,11,14,16,41,42
YDL064W, 10,14
YNL014W, 01,12,16
YML109W, 10,40,42,43
YMR273C, 10,16,32,40,42,43
YDR423C, 11,32
YEL051W, 20,34
YPL012W, 11,12
YHR029C, 11
YJL146W, 10,30,43
YIL136W, 20
YKL098W, 43
YDL220C, 10,11,16,32,42
YLR233C, 10,16,32,42
YMR233W, 10
YOL006C, 10,11
YMR168C, 10,16
YPL018W, 10,16
YJL153C, 01,16
YBR143C, 12
YJR070C, 16,18
YEL048C, 20
YKR068C, 20
YNL101W, 20
YNL197C, 16,40,43
YHR127W, 20
YOR014W, 01,12,14,32
YNL026W, 14,20,42
YBR207W, 20,34
YEL013W, 14,16,20,42
YDR328C, 01,10,14,16
YJR090C, 01,10,14,16,20,32,40,43
YBR189W, 12
YJR145C, 11,12
YDR180W, 01,10,14
YDR365C, 11,16
YKL084W, 14,42
YFL017W-A, 11
YGR091W, 11
YBR130C, 11,16,20,34,40,42,43
YJR132W, 01,14,20
YML085C, 10,41,42
YOR149C, 01,10,14,40,42,43
YGL234W, 01,16
YDL136W, 12
YML063W, 12
YNL124W, 16,20
YKR020W, 14,16,20,42
YGL048C, 01,10,14,16
YGR103W, 11,12
YHL007C, 01,14,30,34,40,42,43
YOL091W, 10,16,43
YFL044C, 11,14
YHR129C, 10,20,40,42,43
YGL075C, 10,42
YMR111C, 14
YER050C, 12,42
YML068W, 12
YDR175C, 02,12,42
YDL229W, 01,12,16,32
YNL112W, 01,11
YDL103C, 01,42
YMR131C, 11,12,42
YJL053W, 14,20
YML001W, 20
YOR341W, 11,16
YAL001C, 11
YDL134C, 01,10,12,14,40,42,43
YDL191W, 12
YLR172C, 01,14
YFR015C, 01,02
YPL204W, 01,10,14,40
YDR190C, 01,10,11,16
YGR086C, 01,18,32,34
YJL057C, 16
YDL203C, 01
YGR058W, 16
YCR052W, 10,11
YLR330W, 01,20,34,41,43
YPR081C, 12
YDR405W, 12,42
YDR192C, 14,16,20,42
YKR018C, 14
YPR106W, 01,14
YEL032W, 10,16
YNL273W, 10
YDR407C, 20
YOR115C, 20
YDL153C, 10,11,16
YCL030C, 01
YKL114C, 10
YGL134W, 01,02,18
YJL165C, 01,14,32,34,42
YKL012W, 11,16
YCL024W, 01,10,14,42,43
YKL181W, 01,02,43
YHR066W, 12,16,34,41
YCR057C, 10,11,16,43
YHR120W, 10,16
YLL024C, 14,16,20
YDR040C, 20,34
YGR129W, 10,11
YLR147C, 11,16
YLR433C, 01,11,14,16,18,30,34,40,42
YNL313C, 41,42
YLR275W, 11
YPL036W, 02,20,34
YLR058C, 01
YFR048W, 14
YPR133C, 11
YJL033W, 11,16,42
YLR185W, 12
YBL025W, 11,16
YNL284C, 12,42
YOR201C, 11
YKL129C, 02,20,32,42,43
YLR176C, 10,11,32
YMR093W, 11,16
YOR153W, 16,20,32,34
YOR306C, 20
YMR190C, 10,16,40,42
YKL210W, 14,16,18,32
YOL021C, 01,10,11
YPR190C, 11,16
YDR440W, 10,14,42
YLR429W, 16,40,42,43
YDL236W, 01,14
YGR199W, 01,14
YPL026C, 01,11,14,20
YBR080C, 01,16,20
YER026C, 01
YPL274W, 20
YPL209C, 01,10,14
YFL045C, 01,14,20
YML030W, 02
YOR092W, 01,16,42
YPR188C, 10,16,40,42,43
YGL172W, 11,12,14,16,20,42
YKL057C, 14,16,20,42
YER136W, 18,20
YML046W, 11,16
YER013W, 11,16
YLR008C, 14,16,18,20,32
YBR109C, 10,16,20,34,40,42,43
YJL115W, 11,16,32,40
YFR032C-A, 12
YOR340C, 11,16
YBR049C, 11
YGL244W, 11
YOR123C, 11,14
YJL034W, 01,10,14,16,20,32,41,42
YJR035W, 10
YGR032W, 01,02,42,43
YDR480W, 16,34,40,43
YLR304C, 01,02
YDL092W, 14,16,20
YAL016W, 01,10,11,12,14,40,42,43
YPL256C, 10,18,34,40,42,43
YBR183W, 01
YOL132W, 01,42
YIR009W, 11,14,16
YDR234W, 01
YOL082W, 14,16,20
YAL034W-A, 10
YBR115C, 01
YDR284C, 01,10,30,40
YLR032W, 01,10,16
YMR172W, 11,32
YKR043C, 01,02
YPL020C, 10,14
YML131W, 01
YOL154W, 16
YJL050W, 11,16,20
YMR137C, 10,32
YDR205W, 20,34
YHR137W, 01
YKR093W, 20
YDL087C, 11,16
YJL203W, 11,14,16
YDR101C, 12
YPL038W, 01,11,16
YHR184W, 10,14,43
YBL051C, 10,16,32
YKR062W, 11
YDL223C, 34,40,41
YDR216W, 01,11,42
YER118C, 30,32,34,43
YOR266W, 32,42
YDL029W, 10,16,20,40,42,43
YMR109W, 02,20,32,34,42,43
YBR181C, 12
YJL039C, 20,42
YHL006C, 10
YAL029C, 02,10,20,34,42,43
YGL005C, 20
YBR205W, 01,14,42
YPR107C, 11,16
YHL004W, 12,16,42
YNL005C, 12,42
YDL095W, 01,14
YDL232W, 01,14,16
YDL161W, 14,16,20,42,43
YOR267C, 01,14,34
YGR183C, 01,02
YDR110W, 10,16,40
YDR404C, 11,16,32
YHR089C, 11,16
YCR083W, 20,32
YGR270W, 01,14,16
YDL215C, 01,02
YLL001W, 42
YDL033C, 11
YLR259C, 14,16,20,32
YJL073W, 14,16,32,41,42
YJR152W, 20
YBL097W, 10
YHL002W, 14,16,20
YNL121C, 14,20
YEL012W, 02,14,16
YMR048W, 10
YDL059C, 10,16,32,42
YNL264C, 01,20,32
YJL187C, 01,10,14,18,40,42,43
YNL272C, 18,20
YJL041W, 11,12,14,16,20,42
YLR312W-A, 12,42
YGL181W, 10,11,20,32,34,40,43
YIR006C, 10,14,16,20,42,43
YJL197W, 14
YML041C, 10,14,20
YNR048W, 11,20,32
YDL123W, 20
YHR174W, 01,02
YIL070C, 02
YGL226W, 02
YER089C, 01,10,14,18,30,32,34
YMR272C, 01
YKR063C, 10,42,43
YPL091W, 32
YGR055W, 01,20
YDR331W, 01,14
YDR456W, 20,32,34
YDR172W, 01,10,12
YKL144C, 11,16
YNR003C, 11,16,42
YGL246C, 01,11,18
YER142C, 10,16,32
YDL171C, 01
YHR112C, 01
YKL078W, 11,12
YBR155W, 14,16,32
YJR031C, 18,20
YBR251W, 12,42
YMR114C, 11
YML112W, 01,11,14
YPL089C, 11,16,30,40,42
YDR280W, 01,11
YDR130C, 10,16
YEL003W, 14,16,42
YIL038C, 01,11
YER092W, 10
YML058W, 01,10,18,32,42
YNL291C, 20,34
YMR183C, 20,40,42,43
YHR110W, 14,20
YDR189W, 16,20
YIL126W, 01,10,11,16
YLR438W, 01
YKL188C, 01,16,20
YPL225W, 16
YDL156W, 16
YHL035C, 01,16,20
YLR314C, 10,16,34,40,42,43
YFL038C, 14,20
YPR176C, 01,14
YOR256C, 14,18,20
YHR148W, 11,12,16
YMR128W, 11,12,42
YBR187W, 16
YOL012C, 10,11
YOR035C, 16,20,34,42
YLR438C-A, 11,16
YIL094C, 01,16
YPL140C, 01,10,14,30,32,40,42,43
YDL097C, 14,16
YPL082C, 01,11,16
YOR220W, 16
YFL005W, 10,20,30,43
YGR172C, 20,40,42,43
YOR209C, 01,10
YGR246C, 11
YLR175W, 01,10,11,40,42
YJL026W, 01,10
YKL171W, 01,14
YLR145W, 11
YHL033C, 12
YBR114W, 10,32
YKR001C, 14,20,42
YOR293W, 12
YHR087W, 16
YDR312W, 12,16,34,41
YGR044C, 10,11
YNL002C, 11,12,16
YPL226W, 01,12,16
YNL307C, 01,10,14,18,30,32,34,43
YOR272W, 10,12,42
YPL118W, 12,42
YFR022W, 32
YLR357W, 10,42
YDL219W, 01,11,12
YGL071W, 11,20,34
YMR021C, 11,14,18,32,34
